IL: Edu & Health-end,1360000
IL: Manufacturing-end,755255
IL: Retail trade-end,65309
IL: Admin & Management-end, 642756
IL: Art & Entermainmen & Food-end,538540
IL: Finance & Insurance & Real Estate-end,423437
IL: Construction-end,274208
IL: Public Admin-end,229861
IL: Transportation-end, 345270
IL: Other Services-end, 241686
IL: Wholesale Trade-end, 181126
IL: Information-end, 120457
IL: Agriculture & Mining-end,48206
IL: Active Duty Military-end, 17820

IL: Edu & Health-SANG: Edu & Health-end,25288
IL: Manufacturing-SANG: Manufacturing-end,4673
IL: Retail trade-SANG: Retail trade-end,10352
IL: Admin & Management-SANG: Admin & Management-end, 8334
IL: Art & Entermainmen & Food-SANG: Art & Entermainmen & Food-end,8044
IL: Finance & Insurance & Real Estate-SANG: Finance & Insurance & Real Estate-end,7779
IL: Construction-SANG: Construction-end,4254
IL: Public Admin-SANG: Public Admin-end,13426
IL: Transportation-SANG: Transportation-end, 3997
IL: Other Services-SANG: Other Services-end, 4760
IL: Wholesale Trade-SANG: Wholesale Trade-end, 2213
IL: Information-SANG: Information-end, 1725
IL: Agriculture & Mining-SANG: Agriculture & Mining-end,1304
