USA: Edu & Health-end,32800000
USA: Manufacturing-end,15000000
USA: Retail trade-end,16200000 
USA: Admin & Management-end, 14400000
USA: Art & Entermainmen & Food-end,13500000
USA: Finance & Insurance & Real Estate-end,9010000
USA: Construction-end,7700000
USA: Public Admin-end,6960000 
USA: Transportation-end, 6890000
USA: Other Services-end, 5840000
USA: Wholesale Trade-end, 3830000
USA: Information-end, 2980000
USA: Agriculture & Mining-end,2420000
USA: Active Duty Military-end, 1020000

USA: Edu & Health-IL: Edu & Health-end,13600000
USA: Manufacturing-IL: Manufacturing-end,7552550
USA: Retail trade-IL: Retail trade-end,653090
USA: Admin & Management-IL: Admin & Management-end, 6427560
USA: Art & Entermainmen & Food-IL: Art & Entermainmen & Food-end,5385400
USA: Finance & Insurance & Real Estate-IL: Finance & Insurance & Real Estate-end,4234370
USA: Construction-IL: Construction-end,2742080
USA: Public Admin-IL: Public Admin-end,2298610
USA: Transportation-IL: Transportation-end, 3452700
USA: Other Services-IL: Other Services-end, 2416860
USA: Wholesale Trade-IL: Wholesale Trade-end, 1811260
USA: Information-IL: Information-end, 1204570
USA: Agriculture & Mining-IL: Agriculture & Mining-end,482060
USA: Active Duty Military-IL: Active Duty Military-end, 178200

USA: Edu & Health-IL: Edu & Health-SANG: Edu & Health-end,2528800
USA: Manufacturing-IL: Manufacturing-SANG: Manufacturing-end,467300
USA: Retail trade-IL: Retail trade-SANG: Retail trade-end,1035200
USA: Admin & Management-IL: Admin & Management-SANG: Admin & Management-end, 833400
USA: Art & Entermainmen & Food-IL: Art & Entermainmen & Food-SANG: Art & Entermainmen & Food-end,804400
USA: Finance & Insurance & Real Estate-IL: Finance & Insurance & Real Estate-SANG: Finance & Insurance & Real Estate-end,777900
USA: Construction-IL: Construction-SANG: Construction-end,425400
USA: Public Admin-IL: Public Admin-SANG: Public Admin-end,1342600
USA: Transportation-IL: Transportation-SANG: Transportation-end, 399700
USA: Other Services-IL: Other Services-SANG: Other Services-end, 476000
USA: Wholesale Trade-IL: Wholesale Trade-SANG: Wholesale Trade-end, 221300
USA: Information-IL: Information-SANG: Information-end, 172500
USA: Agriculture & Mining-IL: Agriculture & Mining-SANG: Agriculture & Mining-end,130400
